State,Year,Month,Applications
Minnesota,2024,1,65805
Minnesota,2024,2,73537
Minnesota,2024,3,88915
Minnesota,2024,4,88208
Minnesota,2024,5,69915
Minnesota,2024,6,59041
Minnesota,2024,7,62518
Minnesota,2023,1,63422
Minnesota,2023,2,67922
Minnesota,2023,3,90757
Minnesota,2023,4,86214
Minnesota,2023,5,69238
Minnesota,2023,6,59722
Minnesota,2023,7,61634
Minnesota,2023,8,69182
Minnesota,2023,9,71753
Minnesota,2023,10,83441
Minnesota,2023,11,71103
Minnesota,2023,12,74387
Minnesota,2022,1,65564
Minnesota,2022,2,69674
Minnesota,2022,3,95934
Minnesota,2022,4,88959
Minnesota,2022,5,71729
Minnesota,2022,6,66708
Minnesota,2022,7,66314
Minnesota,2022,8,73198
Minnesota,2022,9,72322
Minnesota,2022,10,81000
Minnesota,2022,11,69999
Minnesota,2022,12,69643
Minnesota,2021,1,87583
Minnesota,2021,2,75898
Minnesota,2021,3,105224
Minnesota,2021,4,95577
Minnesota,2021,5,72677
Minnesota,2021,6,64977
Minnesota,2021,7,66916
Minnesota,2021,8,75595
Minnesota,2021,9,74716
Minnesota,2021,10,84006
Minnesota,2021,11,70470
Minnesota,2021,12,71660
Minnesota,2020,1,56561
Minnesota,2020,2,61603
Minnesota,2020,3,96654
Minnesota,2020,4,75099
Minnesota,2020,5,70553
Minnesota,2020,6,86100
Minnesota,2020,7,79160
Minnesota,2020,8,83801
Minnesota,2020,9,86830
Minnesota,2020,10,95792
Minnesota,2020,11,84754
Minnesota,2020,12,81484
Minnesota,2019,1,53145
Minnesota,2019,2,50984
Minnesota,2019,3,75386
Minnesota,2019,4,72720
Minnesota,2019,5,56564
Minnesota,2019,6,45667
Minnesota,2019,7,42454
Minnesota,2019,8,53571
Minnesota,2019,9,54733
Minnesota,2019,10,62920
Minnesota,2019,11,55511
Minnesota,2019,12,58701
Minnesota,2018,1,50478
Minnesota,2018,2,49636
Minnesota,2018,3,72268
Minnesota,2018,4,64410
Minnesota,2018,5,47533
Minnesota,2018,6,38204
Minnesota,2018,7,36279
Minnesota,2018,8,41548
Minnesota,2018,9,43339
Minnesota,2018,10,54993
Minnesota,2018,11,48884
Minnesota,2018,12,56506
Minnesota,2017,1,85322
Minnesota,2017,2,62051
Minnesota,2017,3,77749
Minnesota,2017,4,71484
Minnesota,2017,5,55570
Minnesota,2017,6,44775
Minnesota,2017,7,41186
